genre, occurence
"pop",1
"disco",18
"funk",3
"philly soul",2
"motown",5
"soul",5
"funk rock",4
"glam rock",5
"art rock",3
"quiet storm",1
"rap",8
"indie",1
"indietronica",1
"edm",1
"trap",2
"hip hop",11
"east coast hip hop",8
"reggaeton",13
"trap latino",6
"urbano latino",7
"latin",13
"bedroom pop",1
"dance pop",1
"classic rock",6
"rock",5
"g-funk",2
"west coast hip hop",2
"gangster rap",4
"hardcore hip hop",1
"boom bap",1
"hi-nrg",1
"southern hip hop",1
"new jack swing",2
"doom metal",2
"sludge metal",1
"stoner rock",2
"metal",1
"heavy metal",1
"hard rock",1
"new wave",2
"post-punk",1
"synthpop",2
"musicals",1
"latin hip hop",1
"latin alternative",1
"latin pop",1
"rage rap",2
"melodic rap",1
"europop",1
"eurodance",1
"afrobeats",1
"afrobeat",1
"afropop",1
"afro soul",1
