genre, occurence
"europop",1
"eurodance",1
"reggaeton",17
"latin",18
"urbano latino",8
"bedroom pop",2
"drill",4
"trap latino",7
"hyphy",9
"tech house",4
"house",5
"memphis rap",5
"rap",46
"hip hop",28
"southern hip hop",19
"east coast hip hop",6
"trap",5
"west coast hip hop",4
"g-funk",3
"latin pop",1
"melodic rap",4
"r&b",11
"crunk",9
"dancehall",5
"grime",2
"neo soul",1
"dembow",1
"bachata",1
"bachata pop",1
"reggaeton mexa",1
"latin r&b",1
"gangster rap",3
"merengue",1
"latin dance",2
"salsa",1
"dubstep",1
"edm",19
"electro",1
"electronic",1
"disco",1
"dance pop",2
"hyperpop",2
"art pop",2
"moombahton",2
"dance",11
"jersey club",1
"soca",2
"riddim",1
"ragga",1
"reggae",1
"afrobeats",2
"afrobeat",1
"afropop",1
"azonto",1
"afroswing",1
"pop",8
"trance",4
"big room",5
"indie rock",1
"disco house",1
"alternative rock",1
"rage rap",1
"amapiano",1
"gqom",1
"electro swing",1
"electronica",1
"argentine trap",1
"bassline",1
"tropical house",1
"latin house",1
"country",9
"acoustic country",3
"uk drill",1
"red dirt",2
