genre, occurence
"bedroom pop",1
"hyperpop",2
"art pop",3
"latin pop",2
"latin",13
"reggaeton",10
"trap latino",7
"pop",3
"edm",4
"dance",3
"brooklyn drill",1
"drill",1
"new york drill",1
"dembow",3
"urbano latino",7
"electro corridos",2
"nightcore",2
"rkt",1
"turreo",1
"funk",1
"brazilian funk",1
"europop",2
"eurodance",2
"r&b",2
"crunk",2
"southern hip hop",4
"corridos tumbados",1
"sad sierreño",1
"corrido",1
"sierreño",1
"música mexicana",1
"corridos bélicos",1
"banda",1
"melodic rap",2
"rage rap",1
"indie rock",1
"disco house",3
"rap",7
"slap house",1
"g-funk",1
"west coast hip hop",2
"gangster rap",1
"hip hop",3
"indie",1
"indietronica",1
"electronic rock",1
"tech house",3
"funky house",2
"nu disco",1
"big room",1
"dancehall",2
"french pop",1
"p-pop",1
"brazilian bass",1
"electronic",1
"electro",1
"dance pop",1
"tropical house",1
"trap",1
"french house",1
"grime",1
"uk drill",1
