genre, occurence
"europop",2
"eurodance",2
"pop",12
"emo",2
"pop punk",2
"emo pop",2
"rap",11
"hyperpop",3
"art pop",3
"soft pop",2
"house",5
"stutter house",2
"drum and bass",1
"reggaeton",20
"trap latino",12
"urbano latino",13
"latin",22
"indie",4
"psychedelic pop",2
"garage rock",2
"afrobeats",1
"afrobeat",1
"afropop",1
"azonto",1
"afroswing",2
"hiplife",1
"dancehall",6
"moombahton",1
"tech house",5
"edm",10
"memphis rap",1
"southern hip hop",6
"crunk",3
"horrorcore",1
"gangster rap",3
"bedroom pop",2
"r&b",6
"hip hop",7
"east coast hip hop",2
"latin pop",1
"dance",5
"country hip hop",1
"latin hip hop",1
"ragga",1
"reggae",1
"riddim",1
"soca",1
"musicals",3
"hyphy",1
"melodic rap",1
"neo soul",1
"country",1
"jersey club",1
"dembow",4
"brazilian pop",1
"funk pop",1
"funk carioca",1
"funk",1
"pagode baiano",1
"guaracha",1
"nu disco",1
"techno",1
"slap house",1
"electro house",1
"big room",2
"dance pop",1
"tropical house",1
"electro swing",1
"disco",2
"dubstep",1
"electro",1
"electronic",1
"alternative r&b",1
"trance",1
"g-funk",2
"west coast hip hop",3
