genre, occurence
"indietronica",1
"hyperpop",1
"french house",2
"electronic",2
"electro",1
"big beat",1
"alternative dance",1
"breakbeat",1
"g-funk",7
"west coast hip hop",6
"pop",1
"gangster rap",2
"hip hop",3
"rap",2
"soft rock",1
"acid house",1
"chicago house",2
"piano house",2
"east coast hip hop",1
"r&b",2
"quiet storm",1
"smooth r&b",1
"hyphy",3
"motown",1
"disco",1
"new jack swing",1
"lounge",1
"hi-nrg",1
"nu disco",3
"funky house",4
"disco house",1
"uk funky",1
"deep house",3
"uk garage",1
"smooth soul",1
"christmas",1
"neo soul",1
"pop soul",1
