genre, occurence
"medieval",66
"soundtrack",48
"folk metal",2
"chamber pop",1
"christmas",1
"choral",1
"classical",1
"opera",1
"orchestra",3
"sea shanties",5
"french pop",5
"variété française",5
"chanson",5
"space music",11
"gregorian chant",1
"neoclassical",6
"dark cabaret",1
"idm",1
"ambient",3
"minimalism",1
"drone",1
"french house",1
"electronic",1
"electro",1
"celtic",8
"neofolk",1
"dark ambient",1
"darkwave",1
"black metal",1
"synthwave",1
"chillwave",1
"electro swing",1
"new age",1
"japanese vgm",1
