genre, occurence
"soundtrack",13
"idm",2
"ambient",2
"electronica",2
"nu jazz",1
"downtempo",1
"indietronica",7
"dark ambient",1
"classical",2
"requiem",2
"opera",2
"classical piano",2
"chamber music",1
"avant-garde",1
"choral",1
"christmas",1
"post-hardcore",1
"punk",1
"noise rock",1
"hardcore punk",1
"indie",1
"soft pop",1
"shoegaze",2
"dream pop",2
"slowcore",2
"witch house",2
"darkwave",2
"bassline",1
"bass house",1
"house",3
"tech house",3
"g-house",1
"new wave",1
"synthpop",1
"post-punk",1
"madchester",1
"melodic techno",1
"progressive house",1
"melodic house",1
"techno",1
