genre, occurence
"europop",2
"eurodance",6
"pop",67
"hyperpop",9
"art pop",15
"nu disco",1
"synthwave",1
"french house",1
"new jack swing",1
"southern hip hop",8
"rap",9
"trap",4
"christmas",3
"edm",1
"east coast hip hop",4
"musicals",1
"hip house",2
"dance",1
"r&b",32
"hyphy",2
"alternative r&b",4
"hip hop",16
"grime",1
"afroswing",1
"reggaeton",2
"trap latino",1
"urbano latino",2
"latin",2
"crunk",1
"neo soul",4
"g-funk",3
"west coast hip hop",3
"gangster rap",1
"k-pop",1
"melodic rap",1
"french pop",1
"variété française",1
"chanson",1
