genre, occurence
"classic rock",15
"soft rock",14
"southern rock",2
"rock",11
"glam rock",2
"rockabilly",2
"rock and roll",2
"lounge",1
"grunge",5
"power pop",2
"jangle pop",2
"alternative rock",10
"christmas",2
"big band",6
"adult standards",2
"swing music",6
"vocal jazz",5
"jazz",8
"chanson",1
"variété française",1
"french jazz",1
"jazz blues",4
"son cubano",1
"latin jazz",1
"bolero",1
"mambo",1
"country rock",1
"cool jazz",2
"bossa nova",1
"brazilian jazz",1
"new wave",4
"hard rock",4
"glam metal",1
"folk rock",1
"album rock",2
"blues rock",2
"garage rock",2
"modern blues",2
"acid jazz",1
"french house",2
"disco house",1
"reggae",1
"synthpop",2
"bebop",1
"hard bop",1
"french pop",1
"classical",3
"classical piano",2
"chamber music",2
"reggae rock",1
"funk rock",2
"rap rock",1
"art rock",5
"punk",2
"pop punk",1
"post-grunge",2
"modern rock",1
"bluegrass",1
"country",3
"dream pop",1
"shoegaze",1
"slowcore",1
"progressive rock",1
"indie",1
"indietronica",1
"miami bass",1
"funk melody",1
"east coast hip hop",1
"orchestra",1
"opera",2
"requiem",1
"downtempo",1
"trip hop",1
"nu jazz",1
"italo disco",1
"europop",1
"eurodance",1
"musicals",1
"city pop",1
"britpop",1
"madchester",1
