genre, occurence
"americana",4
"folk",20
"alt country",2
"singer-songwriter",31
"folk rock",46
"classic rock",132
"soft rock",50
"progressive rock",12
"album rock",1
"psychedelic rock",36
"rock",44
"blues rock",11
"blues",5
"roots rock",15
"country rock",24
"acid rock",12
"southern rock",23
"motown",7
"soul",6
"northern soul",4
"country",2
"hard rock",15
"rock and roll",15
"jazz blues",1
"glam rock",7
"rockabilly",3
"symphonic rock",13
"art rock",11
"disco",5
"baroque pop",6
"psychedelic pop",1
"soul blues",1
"new wave",9
"synthpop",6
"proto-punk",1
"post-punk",1
"doo-wop",1
"power pop",3
"mariachi",1
"philly soul",2
"classic blues",1
"madchester",1
"jangle pop",1
"celtic rock",1
