genre, occurence
"indie rock",4
"disco house",9
"future bass",50
"edm",102
"slap house",6
"big room",9
"future house",17
"chillstep",6
"drum and bass",61
"melodic bass",9
"rap",71
"hip hop",45
"afrobeats",7
"afrobeat",5
"afropop",3
"azonto",4
"afroswing",9
"afropiano",2
"dancehall",8
"funk rock",5
"alternative rock",7
"rock",34
"indie folk",8
"folk pop",12
"tech house",12
"house",45
"bass house",25
"rage rap",1
"melodic rap",52
"electro house",9
"bassline",34
"grime",37
"indie",22
"psychedelic pop",6
"country",82
"moombahton",22
"acoustic country",9
"country hip hop",3
"country rock",6
"pop country",4
"glam metal",5
"hard rock",14
"classic rock",23
"jersey club",2
"philly club",2
"baltimore club",2
"r&b",13
"lovers rock",3
"reggae",4
"roots reggae",2
"riddim",3
"ragga",2
"soca",1
"melbourne bounce",5
"emo rap",49
"cloud rap",3
"phonk",7
"drift phonk",6
"dubstep",24
"edm trap",9
"uk garage",21
"stutter house",30
"soft pop",18
"dance pop",1
"christian hip hop",4
"christian",2
"pop worship",2
"christian pop",2
"ccm",2
"christian rock",2
"cedm",2
"worship",2
"christian alternative rock",2
"french house",9
"raï",1
"uk drill",22
"drill",25
"memphis rap",3
"garage rock",8
"post-grunge",11
"meme rap",2
"electro",17
"electronic",19
"g-house",6
"techno",6
"brazilian bass",3
"aussie drill",11
"tropical house",22
"dance",11
"hardstyle",6
"frenchcore",2
"hardcore",3
"punk rap",4
"emo",23
"pop punk",25
"emo pop",20
"west coast hip hop",14
"happy hardcore",2
"bedroom pop",10
"trance",5
"hip house",2
"gangster rap",10
"east coast hip hop",18
"new jack swing",2
"quiet storm",3
"art pop",7
"progressive house",11
"soul jazz",1
"hyperpop",6
"norwegian pop",4
"alternative r&b",7
"italian trap",1
"nu disco",4
"lo-fi",4
"eurodance",5
"italo dance",3
"norwegian hip hop",3
"southern hip hop",9
"dark trap",4
"horrorcore",3
"afro house",1
"europop",1
"neo soul",3
"pop",17
"dembow",1
"hiplife",2
"surf rock",32
"britpop",1
"madchester",1
"chillwave",6
"punk",12
"footwork",1
"chicago house",2
"miami bass",2
"rap rock",10
"rock and roll",9
"electroclash",2
"electronica",8
"brazilian hip hop",1
"samba",1
"brazilian rock",1
"mpb",1
"emocore",2
"hardcore punk",1
"brooklyn drill",5
"new york drill",5
"psychobilly",1
"glam rock",2
"grunge",4
"trap",2
"lounge",1
"soft rock",8
"doo-wop",1
"k-rap",1
"k-pop",1
"big beat",3
"dub",3
"liquid funk",25
"nu metal",10
"rap metal",9
"alternative metal",10
"screamo",1
"post-hardcore",1
"jungle",11
"power pop",1
"new wave",3
"synthpop",2
"disco",2
"deep house",7
"northern soul",1
"motown",1
"soul",1
"neue deutsche welle",1
"schlager",1
"german pop",1
"electronic rock",3
"melodic house",3
"baroque pop",4
"red dirt",25
"progressive trance",1
"acoustic pop",1
"drumstep",1
"hardcore hip hop",1
"boom bap",2
"folk rock",3
"singer-songwriter",6
"crunk",1
"lo-fi beats",1
"jazz rap",6
"jazz beats",1
"deathstep",1
"bass music",1
"skate punk",5
"christmas",1
"underground hip hop",1
"hyphy",1
"progressive rock",1
"modern rock",4
"soul blues",2
"witch house",1
"art rock",1
"proto-punk",2
"metal",3
"thrash metal",2
"heavy metal",2
"reggaeton",2
"latin",1
"rally house",2
"uk funky",2
"g-funk",5
"melodic techno",2
"space music",1
"brazilian phonk",3
"brazilian funk",1
"funk",1
"funk carioca",1
"industrial metal",1
"industrial rock",1
"industrial",1
"honky tonk",1
"traditional country",1
"nightcore",3
"russelåter",1
"modern blues",1
"blues rock",3
"blues",2
"ska",2
"ska punk",2
"rockabilly",1
"boogie-woogie",1
"folk",2
"southern gospel",1
"hypertechno",5
"hard house",4
"lo-fi house",1
"alt country",3
"texas country",3
"bluegrass",3
"bounce",1
"funky house",3
"album rock",2
"folk punk",1
"comedy",2
"vaporwave",2
"synthwave",2
"post-punk",1
"malayalam hip hop",1
"desi hip hop",1
"dark cabaret",1
"variété française",1
"southern rock",1
"retro soul",1
"post-disco",1
"roots rock",1
"classic blues",1
"stoner rock",1
"breakbeat",1
"melodic hardcore",1
