genre, occurence
"rap",80
"hip hop",36
"east coast hip hop",6
"west coast hip hop",13
"r&b",4
"funk rock",10
"alternative rock",16
"rock",26
"southern hip hop",12
"metal",2
"heavy metal",2
"stoner rock",1
"doom metal",1
"hard rock",6
"classic rock",8
"post-grunge",12
"grunge",10
"rock and roll",2
"alternative metal",1
"acoustic rock",1
"rage rap",39
"melodic rap",46
"drill",19
"new jack swing",1
"modern rock",7
"album rock",1
"glam metal",2
"southern rock",2
"country rock",1
"soft rock",1
"gangster rap",5
"g-funk",4
"trap",8
"memphis rap",7
"crunk",2
"horrorcore",1
"country",1
"honky tonk",1
"traditional country",1
"pop",1
"edm",1
"hyphy",1
"emo rap",5
"brooklyn drill",8
"new york drill",7
"uk drill",1
"grime",1
