genre, occurence
"country",28
"red dirt",22
"r&b",19
"k-pop",2
"baroque pop",2
"pop",5
"folk pop",8
"indie folk",10
"rap",15
"rage rap",2
"hip hop",11
"west coast hip hop",6
"modern rock",2
"southern hip hop",1
"smooth jazz",1
"christmas",1
"melodic rap",3
"soft pop",1
"classic rock",4
"soft rock",4
"trap",3
"alternative r&b",2
"phonk",1
"drift phonk",1
"melodic bass",1
"future bass",1
"edm",3
"rock",4
"alt country",3
"texas country",3
"bluegrass",3
"indie",4
"drill",3
"art pop",3
"art rock",1
"psychedelic pop",2
"funk rock",1
"alternative rock",1
"glam metal",1
"hard rock",1
"folk",3
"americana",1
"bedroom pop",2
"uk drill",1
"grime",1
"j-rap",1
"pop punk",1
"emo",1
"emo pop",1
"midwest emo",1
"sexy drill",1
"slowcore",1
