genre, occurence
"medieval",470
"opera",18
"choral",101
"classical",79
"gregorian chant",75
"traditional music",9
"requiem",31
"ragtime",2
"minimalism",3
"avant-garde",2
"christmas",4
"chamber music",55
"swedish ballads",34
"vallenato",2
"lo-fi house",2
"celtic",50
"sufi",4
"japanese classical",2
"progressive house",1
"bhajan",1
"qawwali",1
"hard bop",2
"classical piano",3
"folk",1
"folk rock",1
"country blues",1
"acoustic folk",1
"sertanejo universitário",1
"sertanejo",1
"sertanejo tradicional",1
"neofolk",3
"medieval metal",3
"post-rock",1
