genre, occurence
"folk pop",17
"bedroom pop",3
"indie folk",13
"indie",11
"soft pop",5
"pop punk",2
"punk",1
"emo",1
"christian folk",1
"baroque pop",1
"folk",3
"rap",8
"r&b",2
"edm",11
"dance",2
"hip hop",3
"pop",4
"electronic rock",1
"motown",1
"soul",1
"experimental hip hop",1
"alternative hip hop",1
"reggaeton",1
"latin",1
"new wave",2
"synthpop",2
"art pop",1
"west coast hip hop",2
"g-funk",1
"gangster rap",1
"alternative r&b",1
"indie rock",1
"psychedelic pop",2
"french pop",1
"tropical house",1
"disco",1
"britpop",2
"folk rock",2
"surf rock",1
"jangle pop",1
"madchester",1
"trap",1
"reggae rock",1
"funk rock",1
"rap rock",1
"dubstep",1
"electro",1
"electronic",1
"moombahton",1
