genre, occurence
"r&b",8
"edm",10
"indie",10
"alternative rock",4
"classic rock",10
"rock",9
"glam rock",2
"folk",1
"bedroom pop",5
"pop",22
"christmas",3
"reggaeton",3
"trap latino",1
"latin",4
"urbano latino",1
"rap",23
"southern hip hop",4
"emo",15
"art pop",3
"east coast hip hop",5
"new jack swing",1
"baroque pop",1
"pop punk",17
"melodic hardcore",1
"emo pop",11
"nz reggae",2
"slap house",1
"surf rock",8
"future bass",1
"musicals",4
"hip hop",13
"hyperpop",2
"punk",6
"southern rock",1
"folk pop",5
"indie rock",3
"melodic rap",1
"emo rap",3
"dark trap",1
"garage rock",4
"britpop",3
"madchester",3
"soft rock",4
"album rock",3
"grime",3
"country",8
"acoustic country",1
"grunge",1
"g-funk",3
"electronica",1
"progressive house",1
"trance",1
"big room",1
"house",4
"dance",1
"indie folk",2
"soft pop",5
"post-grunge",2
"new wave",1
"synthpop",1
"modern rock",2
"skate punk",1
"funk rock",1
"reggae",2
"riddim",1
"dancehall",3
"ragga",1
"lovers rock",1
"cloud rap",2
"west coast hip hop",5
"crunk",1
"gangster rap",2
"moombahton",1
"tropical house",2
"soul",1
"motown",1
"electro swing",1
"melbourne bounce",2
"progressive rock",1
"disco house",1
"funky house",1
"singer-songwriter",1
"rap rock",1
"nu metal",1
"rap metal",1
"alt country",1
"americana",1
"country rock",1
"roots rock",1
"jazz rap",1
"uk garage",1
"red dirt",2
"hyphy",1
"latin house",1
"latin pop",1
"reggae rock",1
"german pop",1
