genre, occurence
"pop",37
"europop",4
"eurodance",3
"r&b",2
"art pop",13
"riot grrrl",1
"power pop",4
"alternative r&b",2
"k-pop",3
"baroque pop",3
"hip hop",3
"east coast hip hop",3
"rap",4
"christmas",4
"g-funk",1
"west coast hip hop",1
"gangster rap",1
"old school hip hop",1
"swedish pop",1
"christian rock",1
"christian alternative rock",1
"christian",1
"ccm",1
"musicals",1
"bubblegum pop",1
"dancehall",1
"southern hip hop",2
"country hip hop",1
"latin pop",1
"hyperpop",3
"disco",4
"hi-nrg",2
"nu disco",1
"french house",1
"indie dance",1
"new wave",2
"post-punk",1
"gothic rock",1
"darkwave",1
"dansk pop",1
"soft rock",1
"alternative rock",1
"trap",1
"britpop",1
"jangle pop",2
"philly soul",1
"punk",1
"proto-punk",1
"motown",1
"electroclash",1
"bedroom pop",2
"reggaeton",1
"latin",1
"urbano latino",1
"comedy",1
"folk",1
"americana",1
"pop punk",1
"emo",1
