genre, occurence
"proto-punk",4
"moroccan chaabi",1
"glam rock",2
"synthpop",5
"art pop",11
"art rock",1
"new wave",5
"traditional country",1
"neue deutsche welle",2
"schlager",2
"german pop",2
"baroque pop",2
"alternative rock",2
"punk",6
"ska",1
"ska punk",2
"jangle pop",2
"rock",3
"alternative r&b",1
"indietronica",7
"emo",1
"skate punk",2
"emo pop",1
"trip hop",2
"pop",3
"afrobeat",1
"garage rock",4
"cold wave",1
"free jazz",1
"jazz",1
"avant-garde",1
"hard bop",1
"psychobilly",3
"rockabilly",5
"pop punk",2
"europop",2
"eurodance",2
"bedroom pop",1
"indie pop",1
"electroclash",1
"melodic house",1
"christmas",1
"big band",1
"swing music",2
"indie",1
"hyperpop",5
"big beat",1
"breakbeat",1
"synthwave",1
"vaporwave",1
"moombahton",1
"k-pop",1
"lullaby",1
"drum and bass",1
"liquid funk",1
"soft rock",1
"sea shanties",1
"pirate metal",1
"medieval",1
"electronic rock",1
"classic rock",1
"nu metal",2
"alternative metal",2
"rap metal",2
"shoegaze",1
"surf rock",3
"exotica",3
"grunge",1
"modern rock",1
"alt country",1
"americana",1
"disco",1
"hi-nrg",1
"adult standards",1
"rock and roll",2
"boogie-woogie",1
"smooth jazz",1
"soul jazz",1
"soul",1
"motown",1
"glam metal",2
"heavy metal",1
"metal",1
"hard rock",1
"dark cabaret",1
"merengue",1
"r&b",1
"neo soul",1
