tracks,occurrence,freqency
"What Was I Made For? [From The Motion Picture Barbie]",4,0.307692
"Halley's Comet",2,0.153846
"I know it won't work",1,0.076923
"TV",3,0.230769
"Fine Line",1,0.076923
"my tears ricochet",2,0.153846
"Matilda",3,0.230769
"this is me trying",3,0.230769
"Male Fantasy",2,0.153846
"Scott Street",2,0.153846
"Waiting Room",1,0.076923
"I Know The End",3,0.230769
"I miss you, I’m sorry",1,0.076923
"Getting Older",2,0.153846
"Moon Song",3,0.230769
"The 30th",2,0.153846
"Funeral",2,0.153846
"That Funny Feeling",2,0.153846
"Savior Complex",3,0.230769
"Fourth of July",1,0.076923
"Motion Sickness",1,0.076923
"Punisher",1,0.076923
"The Cut That Always Bleeds",1,0.076923
"happiness",1,0.076923
"Bigger Than The Whole Sky",1,0.076923
"You Missed My Heart",1,0.076923
"You're On Your Own, Kid",1,0.076923
"Everything Happens For A Reason",1,0.076923
"j's lullaby (darlin' i'd wait for you)",1,0.076923
"Smoke Signals",1,0.076923
"the lakes - bonus track",1,0.076923
"seven",1,0.076923
"Vienna",1,0.076923
"The Gold - Phoebe Bridgers Version",2,0.153846
"mirrorball",2,0.153846
"Cool About It",2,0.153846
"Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault)",3,0.230769
"right where you left me - bonus track",1,0.076923
"champagne problems",1,0.076923
"Graceland Too",1,0.076923
"tolerate it",2,0.153846
"Happiness is a butterfly",2,0.153846
"evermore (feat. Bon Iver)",1,0.076923
"Sad Beautiful Tragic (Taylor's Version)",1,0.076923
"Astronomy",1,0.076923
"From the Dining Table",1,0.076923
"ceilings",1,0.076923
"the 1",1,0.076923
"Would've, Could've, Should've",2,0.153846
"Labyrinth",1,0.076923
"peace",1,0.076923
"hoax",1,0.076923
"Like Real People Do",1,0.076923
"1 step forward, 3 steps back",1,0.076923
"October Passed Me By",1,0.076923
"Till Forever Falls Apart",1,0.076923
"august",1,0.076923
"New Year’s Day",1,0.076923
"enough for you",3,0.230769
"exile (feat. Bon Iver)",1,0.076923
"I’ll Still Have Me",1,0.076923
"hope ur ok",1,0.076923
"Feels Like",1,0.076923
"ur so pretty",1,0.076923
"Why Am I Like This?",1,0.076923
"Norman fucking Rockwell",2,0.153846
"Sad Girl",1,0.076923
"How to disappear",1,0.076923
"The Archer",2,0.153846
"hate to be lame",1,0.076923
"Block me out",1,0.076923
"Your Power",1,0.076923
"Bruises",1,0.076923
"you were good to me",1,0.076923
"Train Wreck",1,0.076923
"July",1,0.076923
"Wish You The Best",1,0.076923
"Wrong Direction",1,0.076923
"Jealous",1,0.076923
"i love you",1,0.076923
"Lost Without You",1,0.076923
"Selfish",1,0.076923
"Close To You",1,0.076923
"I Have Questions",1,0.076923
"Lose You To Love Me",1,0.076923
"So You Are Tired",1,0.076923
"Rosyln",1,0.076923
"Cry",1,0.076923
"Flightless Bird, American Mouth",1,0.076923
"Did you know that there's a tunnel under Ocean Blvd",1,0.076923
"Be My Mistake",1,0.076923
"Youth",1,0.076923
"Wasting My Young Years",1,0.076923
"Please, Please, Please, Let Me Get What I Want - 2011 Remaster",1,0.076923
"Die For You",1,0.076923
"Cherry Wine - Live",1,0.076923
"Berlin",1,0.076923
"The Other Woman",1,0.076923
"Only",2,0.153846
"THE LONELIEST",1,0.076923
"The Scientist",1,0.076923
"I’m Tired (with Zendaya) - Bonus Track",2,0.153846
"Margaret (feat. Bleachers)",1,0.076923
"Last Day That You Loved Me",1,0.076923
"Unconditional",1,0.076923
"Sparks",2,0.153846
"Cinnamon Girl",2,0.153846
"State Lines",1,0.076923
"favorite crime",1,0.076923
"listen before i go",1,0.076923
"lacy",2,0.153846
"The Story",1,0.076923
"Let The Light In (feat. Father John Misty)",1,0.076923
"Paris, Texas (feat. SYML)",2,0.153846
"Land Where I Land",1,0.076923
"Years On",1,0.076923
"End of Beginning",1,0.076923
"we can't be friends (wait for your love)",2,0.153846
"My Love Mine All Mine",1,0.076923
"Evergreen",1,0.076923
"Chemtrails Over The Country Club",1,0.076923
"SKINNY",2,0.153846
"loml",1,0.076923
"The Black Dog",1,0.076923
"How Did It End?",1,0.076923
"The Prophecy",1,0.076923
"how many things",1,0.076923
"Little Freak",1,0.076923
"cardigan",1,0.076923
"Barbie Girl",8,0.615385
"Material Girl",6,0.461538
"'Cause I'm a Blonde",1,0.076923
"Made You Look",2,0.153846
"We Got The Beat",1,0.076923
"Life in the Dreamhouse (From the TV Series)",1,0.076923
"Cut To The Feeling",2,0.153846
"Perfect Day - Chris Lord Alge Mix",3,0.230769
"Barbie Dreamhouse Adventures Theme Song",1,0.076923
"Boom, Boom, Boom, Boom!!",3,0.230769
"Funkytown",1,0.076923
"What Dreams Are Made Of",3,0.230769
"Summertime Fun!",1,0.076923
"Two of Hearts",1,0.076923
"Gonna Shine",1,0.076923
"Stop",1,0.076923
"Shut Up And Drive",5,0.384615
"Vacation",1,0.076923
"The Tide Is High - Radio Mix",2,0.153846
"Sunday Girl",1,0.076923
"Cruel Summer",3,0.230769
"Long Hot Summer",1,0.076923
"Xanadu",2,0.153846
"Mickey",1,0.076923
"Walking On Sunshine",1,0.076923
"Hello Hello",1,0.076923
"(I'm a) Happy Girl",1,0.076923
"Best Friend",1,0.076923
"Work It",2,0.153846
"Call Me Maybe",2,0.153846
"1001 Arabian Nights",1,0.076923
"What I Like - Wannaboo Playlist",1,0.076923
"Make It Shine (Victorious Theme) (feat. Victoria Justice)",1,0.076923
"Boys And Girls",1,0.076923
"Love Machine",1,0.076923
"Upside Down",1,0.076923
"Girls Just Wanna Have Fun",2,0.153846
"Something That I Want",1,0.076923
"You'Re The One",1,0.076923
"Scratch",1,0.076923
"Don't Stop Movin'",1,0.076923
"Who Do You Think You Are",2,0.153846
"A Public Affair",1,0.076923
"Think Pink",1,0.076923
"That's My Girl",3,0.230769
"Pink",3,0.230769
"Dance The Night",1,0.076923
"Barbie World (with Aqua)",1,0.076923
"Speed Drive",1,0.076923
"WATATI (feat. Aldo Ranks)",1,0.076923
"Journey To The Real World",2,0.153846
"Hey Blondie",2,0.153846
"Home",2,0.153846
"What Was I Made For?",1,0.076923
"Forever & Again",2,0.153846
"Silver Platter",2,0.153846
"Angel",1,0.076923
"butterflies",2,0.153846
"Choose Your Fighter",2,0.153846
"Barbie Dreams (feat. Kaliii)",1,0.076923
"Versions of Me",1,0.076923
"Malibu",2,0.153846
"Woman (feat. The Dap-Kings Horns)",2,0.153846
"Perfect For You",2,0.153846
"We Like To Party! (The Vengabus)",1,0.076923
"Hey Mickey",1,0.076923
"Sorry, I'm a Lady",1,0.076923
"Pink (Bad Day) [From Barbie The Album]",2,0.153846
"Anticipating",1,0.076923
"Happy Together",1,0.076923
"Brave New Girl",1,0.076923
"Good Morning Sunshine",1,0.076923
"I Think We're Alone Now",1,0.076923
"Murder On The Dancefloor",2,0.153846
"I'm So Lucky Lucky",1,0.076923
"Dance The Night - From Barbie The Album",6,0.461538
"Barbie World (with Aqua) [From Barbie The Album]",5,0.384615
"Speed Drive (From Barbie The Album)",5,0.384615
"Angel (From Barbie The Album)",4,0.307692
"Barbie Dreams (feat. Kaliii) [From Barbie The Album]",3,0.230769
"I'm Just Ken",2,0.153846
"WATATI (feat. Aldo Ranks) [From Barbie The Album]",3,0.230769
"Man I Am",1,0.076923
"Push (From Barbie The Album)",2,0.153846
"Closer To Fine (From Barbie The Album)",2,0.153846
"Meeting Ruth",1,0.076923
"Stairway to Weird Barbie",1,0.076923
"Ken Makes a Discovery",1,0.076923
"You Failed Me!",1,0.076923
"I'm Just Ken - Merry Kristmas Barbie",1,0.076923
"Girls Just Want to Have Fun",3,0.230769
"Spice Up Your Life",2,0.153846
"Closer to Fine",1,0.076923
"Push",1,0.076923
"Independent Women, Pt. 1",2,0.153846
"Stayin' Alive - From Saturday Night Fever Soundtrack",1,0.076923
"Lady Marmalade - Single Edit",1,0.076923
"Boss Bitch",3,0.230769
"Let's Hear It for the Boy - From Footloose Soundtrack",1,0.076923
"You're The One That I Want - From “Grease”",1,0.076923
"I2I",1,0.076923
"I Would Die 4 U",1,0.076923
"Try Again",1,0.076923
"Juice (Know The Ledge)",1,0.076923
"Rhythm Of The Night",1,0.076923
"9 to 5",1,0.076923
"It Must Have Been Love - From the Film Pretty Woman",1,0.076923
"Bamboo Ride",1,0.076923
"Sweet Freedom",1,0.076923
"Take My Breath Away - Love Theme from Top Gun",1,0.076923
"7 rings",8,0.615385
"Super Bass",6,0.461538
"Say So",5,0.384615
"Love Again",1,0.076923
"Ice Cream (with Selena Gomez)",2,0.153846
"Rain On Me (with Ariana Grande)",2,0.153846
"Bling Bling",1,0.076923
"Nothing Else Matters",1,0.076923
"Fabulous",3,0.230769
"Kiss Me More (feat. SZA)",6,0.461538
"Va Va Voom",3,0.230769
"Sangria Wine",1,0.076923
"California Gurls",5,0.384615
"Miss Americana & The Heartbreak Prince",1,0.076923
"I'm Still Good",1,0.076923
"Fancy",1,0.076923
"fake smile",1,0.076923
"Kiss and Make Up",2,0.153846
"Only Girl (In The World)",3,0.230769
"Is Your Love Enough?",1,0.076923
"Famous",1,0.076923
"Just A Girl",3,0.230769
"I'm Coming Out",2,0.153846
"Fashion Is My Kryptonite (from Shake It Up: Made In Japan)",1,0.076923
"Who's That Chick?",1,0.076923
"Starships",3,0.230769
"You Need To Calm Down",4,0.307692
"Focus",3,0.230769
"Stars Are Blind",1,0.076923
"Rose Colored Lenses",1,0.076923
"Bubblegum Bitch",4,0.307692
"This Kiss",1,0.076923
"Check It Out",1,0.076923
"Touch",1,0.076923
"Paper Rings",1,0.076923
"Not Your Barbie Girl",2,0.153846
"Boys",3,0.230769
"Pretty Girls",2,0.153846
"Sorry Not Sorry",3,0.230769
"Good as Hell (feat. Ariana Grande) - Remix",1,0.076923
"Boy With Luv (feat. Halsey)",3,0.230769
"Be Kind (with Halsey)",1,0.076923
"Bejeweled",3,0.230769
"1999",1,0.076923
"Hits Different",2,0.153846
"telepatía",2,0.153846
"Tusa",1,0.076923
"Cool for the Summer",3,0.230769
"bloodline",1,0.076923
"Sweet Melody",1,0.076923
"How I Look On You",1,0.076923
"Plastic Hearts",1,0.076923
"Sour Candy (with BLACKPINK)",1,0.076923
"Live It Up",1,0.076923
"Boom Clap",1,0.076923
"Play Date",2,0.153846
"Diamonds",1,0.076923
"Levitating",4,0.307692
"Don't Go Yet",1,0.076923
"Boys (Summertime Love)",1,0.076923
"(You Drive Me) Crazy",3,0.230769
"Milkshake",3,0.230769
"Good Ones",1,0.076923
"Still Learning",1,0.076923
"Island",1,0.076923
"All Of The Girls You Loved Before",1,0.076923
"Ordinary Girl",3,0.230769
"Eh, Eh (Nothing Else I Can Say)",1,0.076923
"Agüita",1,0.076923
"Let's Get Crazy",1,0.076923
"Fashion!",2,0.153846
"Break Free",1,0.076923
"Choose Your Fighter (From Barbie The Album)",2,0.153846
"The Man",3,0.230769
"Power",1,0.076923
"Rock Star",2,0.153846
"Bed Chem",1,0.076923
"Perfect Day",2,0.153846
"Hollaback Girl",1,0.076923
"Whip My Hair",3,0.230769
"Womanizer",4,0.307692
"Toxic",3,0.230769
"...Baby One More Time",4,0.307692
"Circus",4,0.307692
"Wannabe",3,0.230769
"Dancing Queen",1,0.076923
"Pound The Alarm",3,0.230769
"Teenage Dream",4,0.307692
"Bad Romance",2,0.153846
"All About That Bass",2,0.153846
"Pretty Girl Rock",3,0.230769
"My Type",3,0.230769
"Fly",1,0.076923
"Run the World (Girls)",1,0.076923
"I'll Always Remember You",1,0.076923
"LoveGame",1,0.076923
"Moment 4 Life",2,0.153846
"When I Grow Up",6,0.461538
"SOS",2,0.153846
"Barbie Tingz",2,0.153846
"Did It On’em",2,0.153846
"Hips Don't Lie (feat. Wyclef Jean)",2,0.153846
"Pon de Replay",2,0.153846
"The Sweet Escape",3,0.230769
"Genie In a Bottle",3,0.230769
"What the Hell",2,0.153846
"Lip Gloss",2,0.153846
"Don't Cha",6,0.461538
"Umbrella",1,0.076923
"What's My Name?",2,0.153846
"Girlfriend",2,0.153846
"TiK ToK",3,0.230769
"London Bridge",2,0.153846
"thank u, next",6,0.461538
"God is a woman",3,0.230769
"break up with your girlfriend, i'm bored",4,0.307692
"no tears left to cry",2,0.153846
"Truth Hurts",3,0.230769
"Good as Hell",2,0.153846
"Look What You Made Me Do",3,0.230769
"Crying in the Club",1,0.076923
"Hey Hey Hey",1,0.076923
"I Knew You Were Trouble.",1,0.076923
"Heart Attack",1,0.076923
"I'm a Slave 4 U",1,0.076923
"Gimme More",4,0.307692
"Luxury",2,0.153846
"Criminal",1,0.076923
"Turn It Up",1,0.076923
"Maneater",3,0.230769
"Soldier (feat. T.I. & Lil' Wayne)",1,0.076923
"Glamorous",6,0.461538
"Big Girls Don't Cry (Personal)",1,0.076923
"Rich Girl",4,0.307692
"Since U Been Gone",2,0.153846
"If I Were a Boy",1,0.076923
"Special",2,0.153846
"hotline (edit)",1,0.076923
"cellophane",1,0.076923
"Amelie",1,0.076923
"My Mother & I",1,0.076923
"Letter To An Old Poet",1,0.076923
"i'm worried it will always be you",1,0.076923
"things i wish you said",1,0.076923
"The Alcott (feat. Taylor Swift)",1,0.076923
"The End Of Love",1,0.076923
"Two people",1,0.076923
"Nobody Gets Me",1,0.076923
"i'll never fall in love with myself - demo",1,0.076923
"Goodnight",1,0.076923
"Mean It",1,0.076923
"Can't Help Falling in Love",1,0.076923
"the grudge",1,0.076923
"making the bed",1,0.076923
"Cassandra",1,0.076923
"I Hate It Here",1,0.076923
"Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes",1,0.076923
"History Of Man",1,0.076923
"mad woman",1,0.076923
"complex",1,0.076923
"Gave You I Gave You I",1,0.076923
"Lie To Girls",1,0.076923
"Did You Like Her In The Morning?",1,0.076923
"Giver / Taker",1,0.076923
"Killer + The Sound",1,0.076923
"WILDFLOWER",2,0.153846
"opposite",2,0.153846
"Supermodel (You Better Work)",2,0.153846
"Vogue",2,0.153846
"Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)",1,0.076923
"Fergalicious",4,0.307692
"Milkshake - Radio Mix",1,0.076923
"Whine Up (feat. Elephant Man) - English Version",1,0.076923
"Diva",2,0.153846
"Dangerous Woman",2,0.153846
"Sexy And I Know It",1,0.076923
"Paparazzi",3,0.230769
"On The Floor - Radio Edit",1,0.076923
"Sweet but Psycho",1,0.076923
"Work Bitch",4,0.307692
"Crazy In Love (feat. JAY-Z)",2,0.153846
