tracks,occurrence,freqency
"All The Small Things",2,0.076923
"Sk8er Boi",6,0.230769
"Ocean Avenue",1,0.038462
"Since U Been Gone",5,0.192308
"1985",4,0.153846
"My Own Worst Enemy",2,0.076923
"Crazy In Love (feat. JAY-Z)",3,0.115385
"Everybody (Backstreet's Back) - Radio Edit",3,0.115385
"Mr. Brightside",10,0.384615
"Before He Cheats",7,0.269231
"Fat Lip",2,0.076923
"TiK ToK",4,0.153846
"Never Let You Go - 2008 Remaster",2,0.076923
"Angel",2,0.076923
"Beverly Hills",3,0.115385
"Party In The U.S.A.",6,0.230769
"What I Got",1,0.038462
"Paper Planes",8,0.307692
"Dirty Little Secret",3,0.115385
"Everywhere",4,0.153846
"Float On",1,0.038462
"Follow Me",2,0.076923
"I Kissed A Girl",3,0.115385
"Temperature",4,0.153846
"One Week",5,0.192308
"Umbrella",11,0.423077
"The Middle",10,0.384615
"California - Tchad Blake Mix",1,0.038462
"The Anthem",1,0.038462
"Save Tonight",4,0.153846
"Womanizer",6,0.230769
"Flagpole Sitta",1,0.038462
"Country Grammar (Hot Shit)",1,0.038462
"Sugar, We're Goin Down",5,0.192308
"I Want It That Way",8,0.307692
"Forgot About Dre",1,0.038462
"Every Morning",2,0.076923
"Poker Face",5,0.192308
"Use Somebody",6,0.230769
"Dammit",1,0.038462
"No Scrubs",8,0.307692
"Island In The Sun",5,0.192308
"Toxic",11,0.423077
"In Too Deep",1,0.038462
"Hand in My Pocket",1,0.038462
"Snow (Hey Oh)",3,0.115385
"Hey Leonardo (She Likes Me For Me)",1,0.038462
"Hot N Cold",3,0.115385
"Jumper",1,0.038462
"SexyBack (feat. Timbaland)",4,0.153846
"Santeria",4,0.153846
"Hollaback Girl",6,0.230769
"Complicated",7,0.269231
"No Diggity",2,0.076923
"So What",5,0.192308
"Welcome to the Black Parade",2,0.076923
"Semi-Charmed Life",2,0.076923
"Ironic",2,0.076923
"The Kids Aren't Alright",2,0.076923
"Ms. Jackson",10,0.384615
"Someday",2,0.076923
"I Miss You",2,0.076923
"Work It",1,0.038462
"I Write Sins Not Tragedies",6,0.230769
"Inside Out",2,0.076923
"Family Affair",2,0.076923
"Lifestyles of the Rich & Famous",2,0.076923
"Say My Name",4,0.153846
"It's Gonna Be Me",4,0.153846
"Wannabe",8,0.307692
"Survivor",1,0.038462
"Bitch",2,0.076923
"I Bet You Look Good On The Dancefloor",2,0.076923
"Crazy",3,0.115385
"Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix",2,0.076923
"Gives You Hell",6,0.230769
"Pon de Replay",3,0.115385
"Can't Stop",3,0.115385
"Genie In a Bottle",4,0.153846
"Down",8,0.307692
"Somewhere Only We Know",5,0.192308
"London Bridge",4,0.153846
"This Love",5,0.192308
"Rich Girl",4,0.153846
"How's It Going to Be",2,0.076923
"Meet Virginia",1,0.038462
"Unwritten",8,0.307692
"What's My Age Again?",3,0.115385
"Black Horse And The Cherry Tree",1,0.038462
"Ridin'",2,0.076923
"When It's Over - David Kahne Main",2,0.076923
"Love Story",4,0.153846
"She's so High",5,0.192308
"By the Way",3,0.115385
"...Baby One More Time",7,0.269231
"Flavor Of The Weak",1,0.038462
"In Da Club",4,0.153846
"Slide",4,0.153846
"Bye Bye Bye - From Deadpool and Wolverine Soundtrack",5,0.192308
"Hey There Delilah",5,0.192308
"Independent Women, Pt. 1",1,0.038462
"Promiscuous",5,0.192308
"Stacy's Mom",5,0.192308
"Hot In Herre",2,0.076923
"Chasing Cars",5,0.192308
"In the End",1,0.038462
"Superstar (feat. Matthew Santos)",1,0.038462
"A Thousand Miles - Single Version",1,0.038462
"Blurry",2,0.076923
"All You Wanted",2,0.076923
"Feel Good Inc.",6,0.230769
"Absolutely (Story of a Girl) - Radio Mix",3,0.115385
"Love Don't Cost a Thing",1,0.038462
"As Long as You Love Me",2,0.076923
"The Way",1,0.038462
"Gettin' Jiggy Wit It",1,0.038462
"MMMBop - Single Version",1,0.038462
"Don't Stop The Music",4,0.153846
"I Will Buy You A New Life",1,0.038462
"Oops!...I Did It Again",9,0.346154
"Soak Up The Sun",2,0.076923
"Sympathy",1,0.038462
"The Rockafeller Skank",3,0.115385
"Behind These Hazel Eyes",2,0.076923
"All Star",6,0.230769
"Steal My Kisses",1,0.038462
"Live Your Life",4,0.153846
"You Get What You Give",3,0.115385
"Jumpin', Jumpin'",2,0.076923
"Kryptonite",6,0.230769
"Pieces Of Me",1,0.038462
"Larger Than Life",2,0.076923
"It Wasn't Me",4,0.153846
"She Hates Me",1,0.038462
"Rehab",6,0.230769
"Low (feat. T-Pain)",7,0.269231
"Crazy for This Girl",1,0.038462
"SOS",6,0.230769
"Drive",5,0.192308
"Bubbly",1,0.038462
"Ride Wit Me",3,0.115385
"Yellow",7,0.269231
"Tearin' up My Heart - Radio Edit",2,0.076923
"First Date",1,0.038462
"Hella Good",2,0.076923
"Somebody Told Me",3,0.115385
"Torn",2,0.076923
"The Boys of Summer",1,0.038462
"Unwell",3,0.115385
"Love Song",3,0.115385
"Father Of Mine",1,0.038462
"Whatever You Like",2,0.076923
"Drops of Jupiter (Tell Me)",6,0.230769
"Lady Marmalade - From Moulin Rouge Soundtrack",1,0.038462
"I Hate Everything About You",2,0.076923
"Roses",8,0.307692
"I'm Like A Bird",3,0.115385
"Fly - Fly",2,0.076923
"Irreplaceable",1,0.038462
"One Thing",4,0.153846
"Right Round",3,0.115385
"Rock Your Body",6,0.230769
"American Idiot",5,0.192308
"Lose Control (feat. Ciara & Fat Man Scoop)",1,0.038462
"Dance, Dance",1,0.038462
"Everytime We Touch",3,0.115385
"Suddenly I See",2,0.076923
"Over My Head (Cable Car)",2,0.076923
"You Belong With Me",2,0.076923
"Take Me Out",2,0.076923
"Harder To Breathe",2,0.076923
"Drop It Like It's Hot",2,0.076923
"Standing Still",1,0.038462
"Disturbia",3,0.115385
"Meant to Live",1,0.038462
"Halo",3,0.115385
"Miss Murder",2,0.076923
"Whatcha Say",7,0.269231
"Steal My Sunshine",1,0.038462
"Beautiful Girls",8,0.307692
"Candy",2,0.076923
"Swing, Swing",2,0.076923
"Heaven",6,0.230769
"Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa)",1,0.038462
"Break Stuff",2,0.076923
"Pump It",3,0.115385
"Fireflies",10,0.384615
"Day 'N' Nite (nightmare)",3,0.115385
"Put Your Records On",6,0.230769
"Stand Up",1,0.038462
"Chariot",1,0.038462
"Breathless",1,0.038462
"The Impression That I Get",2,0.076923
"The Way You Move (feat. Sleepy Brown)",1,0.038462
"Hit 'Em Up Style (Oops!)",1,0.038462
"No Such Thing",2,0.076923
"Get Busy",2,0.076923
"Get Ur Freak On",1,0.038462
"This Kiss",3,0.115385
"I Need to Know",1,0.038462
"Mesmerize",1,0.038462
"Better Days (And the Bottom Drops Out)",2,0.076923
"Hey Baby",1,0.038462
"What's Luv? (feat. Ja-Rule & Ashanti)",2,0.076923
"Break It Off",1,0.038462
"Closing Time",2,0.076923
"Dilemma",2,0.076923
"Butterfly",3,0.115385
"Gossip Folks (feat. Ludacris)",1,0.038462
"Sweetness",1,0.038462
"Suga Suga",6,0.230769
"The Game of Love (feat. Michelle Branch) - Main / Radio Mix",2,0.076923
"Naughty Girl",2,0.076923
"Bring Me To Life",3,0.115385
"Pocketful of Sunshine",6,0.230769
"Miss Independent",1,0.038462
"I Don't Want to Be",2,0.076923
"Milkshake - Radio Mix",1,0.038462
"Here Without You",2,0.076923
"Lose My Breath",1,0.038462
"What It's Like",2,0.076923
"1, 2 Step (feat. Missy Elliott)",3,0.115385
"My Happy Ending",2,0.076923
"She Will Be Loved - Radio Mix",3,0.115385
"Move Along",2,0.076923
"My Love (feat. T.I.) - Single Version",1,0.038462
"Breathe (2 AM)",3,0.115385
"Dani California",4,0.153846
"Thnks fr th Mmrs",5,0.192308
"Let's Get It Started - Spike Mix",2,0.076923
"Take You There",3,0.115385
"Our Song",3,0.115385
"The Real Slim Shady",4,0.153846
"Come On Get Higher",1,0.038462
"1234",1,0.038462
"Accidentally In Love",3,0.115385
"Without Me",6,0.230769
"Teardrops on My Guitar - Pop Version",1,0.038462
"Teenage Dirtbag",4,0.153846
