tracks,occurrence,freqency
"Hearts Of Stone - Live at Video Game Show 2016",1,0.076923
"Silver For Monsters - Live at Video Game Show 2016",1,0.076923
"On Thin Ice",2,0.153846
"Conjunction Of The Spheres",2,0.153846
"Turning the Tide",2,0.153846
"Geralt Of Rivia - Live at Video Game Show 2016",2,0.153846
"The Hunter + The Storm",1,0.076923
"The Beast Of Beauclair",1,0.076923
"Peaks Pass",1,0.076923
"Claws And Scales",1,0.076923
"Tesham Mutna",1,0.076923
"The Army of the Dead",1,0.076923
"Out of Control",1,0.076923
"Arena Of Rage",1,0.076923
"Howl",1,0.076923
"The Creeping Hut",1,0.076923
"The Witch of Hemwick",1,0.076923
"Deliverance",1,0.076923
"Twisted Force",1,0.076923
"Masser",1,0.076923
"Aurora",1,0.076923
"Dragonsreach",1,0.076923
"Standing Stones",1,0.076923
"Thedas Love Theme",2,0.153846
"Clairvoyance",1,0.076923
"Monks and Chicks",1,0.076923
"Kyne's Peace",1,0.076923
"Crashed Upon the Shield",1,0.076923
"Symphony of the Void",2,0.153846
"Dancing with the Source",1,0.076923
"Tooth and Claw",1,0.076923
"Death or Sovngarde",1,0.076923
"Steel on Steel",1,0.076923
"Caught off Guard",1,0.076923
"War",1,0.076923
"Blood and Steel",1,0.076923
"Death Knell",1,0.076923
"Fall of the Hammer",1,0.076923
"March of the Marauders",1,0.076923
"Defending the Gate",1,0.076923
"Bloody Blades",1,0.076923
"Daedra in Flight",1,0.076923
"Bloodlust",1,0.076923
"Churl's Revenge",1,0.076923
"Onslaught at the Gates",1,0.076923
"To Kill An Ogre",1,0.076923
"Five Armies",1,0.076923
"The Dragon Thrashed and Wailed",1,0.076923
"Come Soft Winds of Death",2,0.153846
"Ride to Destiny",1,0.076923
"Final Confrontation",1,0.076923
"Lair of the Great Wyrm",2,0.153846
"Deep Trouble",1,0.076923
"Qunari On the Rise",1,0.076923
"Main Theme",1,0.076923
"Welcome to the Asylum",1,0.076923
"Arrival",1,0.076923
"Main Hall",1,0.076923
"Wake Up",1,0.076923
"Finale",1,0.076923
"Silent Footsteps",1,0.076923
"Death in the Darkness",1,0.076923
"Hail, Paemon!",1,0.076923
"Firelink Shrine",1,0.076923
"Premonition",1,0.076923
"Moonlit Melody",2,0.153846
"Hunter's Dream",2,0.153846
"The Quarantine Zone (20 Years Later)",1,0.076923
"Duskwood",1,0.076923
"Graveyard",1,0.076923
"Lurking",1,0.076923
"SHA (Spirits of Hatred)",1,0.076923
"Relic Uncovered",1,0.076923
"Menu Theme",1,0.076923
"Darkness",1,0.076923
"Grand Hall",1,0.076923
"Ending: Agrippa",1,0.076923
"The Darkening Ground",1,0.076923
"The Villain",1,0.076923
"The Guise of Man",1,0.076923
"Destiny",1,0.076923
"Battle In The Sky",1,0.076923
"Descent into the Depths",1,0.076923
"Forged in War",1,0.076923
"Oath of Malacath",1,0.076923
"The Elder One Theme",1,0.076923
"Abyssal Assault",1,0.076923
"Demonic Onslaught",1,0.076923
"The Night Of Long Fangs",1,0.076923
"Master of Fate",2,0.153846
"Guardians of the Past",1,0.076923
"Orb of Destruction",1,0.076923
"Mournweald Encounter",1,0.076923
"Enter the Fire God",1,0.076923
"By Death or Dream",1,0.076923
"Seasons of War (Intro Movie)",1,0.076923
"Salvation",1,0.076923
"Astel, Naturalborn of the Void",1,0.076923
"The Endless Night",1,0.076923
"Vermintide End Times",1,0.076923
"Godskin Apostles",1,0.076923
"Cleric Beast",1,0.076923
"Blood-starved Beast",1,0.076923
"Castellan Sylvan",1,0.076923
"Undying Kazimir",1,0.076923
"Regal Ancestor Spirit",2,0.153846
"Godfrey, First Elden Lord",1,0.076923
"Sins and Gods - Revelation",1,0.076923
"A Threat from Nether Years",1,0.076923
"Gather Your Allies!",1,0.076923
"Elder Brain",1,0.076923
"The Planets, Op. 32: Saturn, the Bringer of Old Age",1,0.076923
"Nightfall",1,0.076923
"Hollow Knight",1,0.076923
"Dirtmouth",1,0.076923
"Resting Grounds",1,0.076923
"Reflection",1,0.076923
"Haunted Corridor",1,0.076923
"A Cold Presence",1,0.076923
"White Specter",1,0.076923
"Disguise",1,0.076923
"Requiem, K. 626: Lacrimosa dies illa",1,0.076923
"In Lily's Honour",1,0.076923
"Cemetery Waltz",1,0.076923
"Prologue",1,0.076923
"The Arrival",1,0.076923
"Back Hall",2,0.153846
"Are We Alone?",1,0.076923
"Nocturnal",1,0.076923
"The Great Hall",1,0.076923
"Dear Reader",1,0.076923
"Hunters Haven",2,0.153846
"Macabre Respite",1,0.076923
"Milton's Tower",1,0.076923
"Iiardnia Village",1,0.076923
"Intro / Menu",2,0.153846
"A Deeper Dream",1,0.076923
"Lone Harvest",1,0.076923
"Huddled in the Shadows",1,0.076923
"The Nightmare Ends (From Bloodborne) [Hunter's Dream]",1,0.076923
"Return to Slumber",1,0.076923
"The Darkest of Days",1,0.076923
