playlist a,playlist b,common tracks, unique tracks
"moon_wives","atmosphere_temple",0,27
"moon_wives","battle_standard",0,46
"moon_wives","mood__ominous",0,46
"moon_wives","erebos",4,48
"moon_wives","knights_of_shallow_lake",0,48
"moon_wives","helviti_batr_vessels_to_elsewhere",0,34
"moon_wives","lurkers_below",0,45
"moon_wives","hearthstone",0,48
"moon_wives","pot_tyr",0,131
"moon_wives","atmosphere_nature",0,90
"moon_wives","grave_lady",0,31
"moon_wives","dnd",0,21
"atmosphere_temple","battle_standard",0,35
"atmosphere_temple","mood__ominous",0,35
"atmosphere_temple","erebos",0,45
"atmosphere_temple","knights_of_shallow_lake",0,37
"atmosphere_temple","helviti_batr_vessels_to_elsewhere",0,23
"atmosphere_temple","lurkers_below",0,34
"atmosphere_temple","hearthstone",0,37
"atmosphere_temple","pot_tyr",1,118
"atmosphere_temple","atmosphere_nature",0,79
"atmosphere_temple","grave_lady",0,20
"atmosphere_temple","dnd",0,10
"battle_standard","mood__ominous",0,54
"battle_standard","erebos",3,58
"battle_standard","knights_of_shallow_lake",0,56
"battle_standard","helviti_batr_vessels_to_elsewhere",0,42
"battle_standard","lurkers_below",0,53
"battle_standard","hearthstone",0,56
"battle_standard","pot_tyr",0,139
"battle_standard","atmosphere_nature",0,98
"battle_standard","grave_lady",0,39
"battle_standard","dnd",0,29
"mood__ominous","erebos",0,64
"mood__ominous","knights_of_shallow_lake",2,52
"mood__ominous","helviti_batr_vessels_to_elsewhere",0,42
"mood__ominous","lurkers_below",0,53
"mood__ominous","hearthstone",0,56
"mood__ominous","pot_tyr",0,139
"mood__ominous","atmosphere_nature",0,98
"mood__ominous","grave_lady",0,39
"mood__ominous","dnd",0,29
"erebos","knights_of_shallow_lake",0,66
"erebos","helviti_batr_vessels_to_elsewhere",1,50
"erebos","lurkers_below",0,63
"erebos","hearthstone",0,66
"erebos","pot_tyr",0,149
"erebos","atmosphere_nature",0,108
"erebos","grave_lady",0,49
"erebos","dnd",0,39
"knights_of_shallow_lake","helviti_batr_vessels_to_elsewhere",0,44
"knights_of_shallow_lake","lurkers_below",0,55
"knights_of_shallow_lake","hearthstone",0,58
"knights_of_shallow_lake","pot_tyr",0,141
"knights_of_shallow_lake","atmosphere_nature",0,100
"knights_of_shallow_lake","grave_lady",3,35
"knights_of_shallow_lake","dnd",0,31
"helviti_batr_vessels_to_elsewhere","lurkers_below",0,41
"helviti_batr_vessels_to_elsewhere","hearthstone",0,44
"helviti_batr_vessels_to_elsewhere","pot_tyr",0,127
"helviti_batr_vessels_to_elsewhere","atmosphere_nature",0,86
"helviti_batr_vessels_to_elsewhere","grave_lady",0,27
"helviti_batr_vessels_to_elsewhere","dnd",0,17
"lurkers_below","hearthstone",0,55
"lurkers_below","pot_tyr",0,138
"lurkers_below","atmosphere_nature",0,97
"lurkers_below","grave_lady",0,38
"lurkers_below","dnd",0,28
"hearthstone","pot_tyr",0,141
"hearthstone","atmosphere_nature",0,100
"hearthstone","grave_lady",0,41
"hearthstone","dnd",0,31
"pot_tyr","atmosphere_nature",3,177
"pot_tyr","grave_lady",0,124
"pot_tyr","dnd",0,114
"atmosphere_nature","grave_lady",0,83
"atmosphere_nature","dnd",0,73
"grave_lady","dnd",0,14
