tracks,occurrence,freqency
"It Never Rains in Southern California",1,0.100000
"I'll Be Here in the Morning",1,0.100000
"If Not For You - Remastered 2014",1,0.100000
"Right Down the Line",1,0.100000
"California Dreamin' - Single Version",1,0.100000
"Don't Be Cruel",1,0.100000
"Dirty Work",1,0.100000
"Everybody's Talkin'",1,0.100000
"Vienna",2,0.200000
"Tiny Dancer",1,0.100000
"Dust in the Wind",1,0.100000
"Get Back - Remastered 2009",1,0.100000
"Tumbling Dice",1,0.100000
"One of These Nights - 2013 Remaster",1,0.100000
"Gimme Shelter",1,0.100000
"Miss You - Remastered",1,0.100000
"Beast Of Burden - Remastered 1994",1,0.100000
"Wild Horses - 2009 Mix",1,0.100000
"Layla",1,0.100000
"Go Your Own Way - 2004 Remaster",2,0.200000
"Sultans Of Swing",1,0.100000
"My Sweet Lord - Remastered 2014",1,0.100000
"Knockin' On Heaven's Door",1,0.100000
"Your Song",1,0.100000
"What Is Life - Remastered 2014",1,0.100000
"Don't Stop - 2004 Remaster",1,0.100000
"Fire and Rain",1,0.100000
"The Chain - 2004 Remaster",4,0.400000
"Dreams - 2004 Remaster",4,0.400000
"It's Too Late",1,0.100000
"A Horse with No Name - 2006 Remaster",1,0.100000
"Casey Jones - 2013 Remaster",1,0.100000
"Photograph",1,0.100000
"It Don't Come Easy",1,0.100000
"What A Fool Believes",1,0.100000
"Midnight Train to Georgia",1,0.100000
"I Feel the Earth Move",1,0.100000
"Lay Down Sally",1,0.100000
"California",1,0.100000
"Rich Girl",1,0.100000
"Jolene",1,0.100000
"Dream On",1,0.100000
"Hotel California - 2013 Remaster",1,0.100000
"Stairway to Heaven - 1990 Remaster",1,0.100000
"Have You Ever Seen The Rain",2,0.200000
"Here Comes The Sun - Remastered 2009",1,0.100000
"These Boots Are Made For Walkin'",1,0.100000
"Bad Moon Rising",1,0.100000
"Son Of A Preacher Man",1,0.100000
"I Say a Little Prayer",1,0.100000
"A Hard Day's Night - Remastered 2009",1,0.100000
"I've Just Seen A Face - Remastered 2009",1,0.100000
"While My Guitar Gently Weeps - Remastered 2009",1,0.100000
"You Make Loving Fun - 2004 Remaster",1,0.100000
"Rocket Man (I Think It's Going To Be A Long, Long Time)",1,0.100000
"Sunshine Of Your Love",1,0.100000
"Fortunate Son",2,0.200000
"The Night They Drove Old Dixie Down - Remastered 2000",1,0.100000
"Take Me Home, Country Roads - Rerecorded",1,0.100000
"Sympathy For The Devil",1,0.100000
"The Times They Are A-Changin'",1,0.100000
"Ain't No Sunshine",2,0.200000
"(Don't Fear) The Reaper",2,0.200000
"Bohemian Rhapsody - Remastered 2011",2,0.200000
"Sweet Home Alabama",3,0.300000
"Ramblin' Man",1,0.100000
"Midnight Rider",1,0.100000
"Don't Stop Me Now - Remastered 2011",1,0.100000
"Rhiannon",2,0.200000
"Harlem Shuffle",1,0.100000
"Happy Together",1,0.100000
"Maybe",1,0.100000
"Me and Bobby McGee",1,0.100000
"Piece of My Heart",1,0.100000
"Cry Baby",1,0.100000
"Let It Be - Remastered 2009",1,0.100000
"Yesterday - Remastered 2009",1,0.100000
"Hey Jude - Remastered 2015",1,0.100000
"All You Need Is Love - Remastered 2009",1,0.100000
"Oh, Pretty Woman",1,0.100000
"Lyin' Eyes - 2013 Remaster",1,0.100000
"Listen to the Music",2,0.200000
"The Long And Winding Road - Remastered 2009",1,0.100000
"Mrs. Robinson - Single Mix",1,0.100000
"Somebody To Love - 2014 Remaster",1,0.100000
"Free Bird",1,0.100000
"Twist And Shout - Remastered",1,0.100000
"Candle In The Wind - Remastered 2014",1,0.100000
"Brain Damage",1,0.100000
"Cotton Fields",1,0.100000
"Angie",1,0.100000
"Mr. Blue Sky",1,0.100000
"Cocaine",1,0.100000
"In My Life - Remastered",1,0.100000
