playlist a,playlist b,common tracks, unique tracks
"road_trip_____","summer_road_trip_vibes",3,490
"road_trip_____","roadtrip_",2,542
"road_trip_____","the_ultimate_roadtrip_playlist__",10,777
"road_trip_____","all_american_road_trip",1,310
"road_trip_____","road_trippin_",5,1876
"road_trip_____","road_trip____",0,626
"road_trip_____","roadtrippin_",6,676
"road_trip_____","road_trip_",8,594
"road_trip_____","90s__00s_road_trippin",3,468
"summer_road_trip_vibes","roadtrip_",6,454
"summer_road_trip_vibes","the_ultimate_roadtrip_playlist__",37,643
"summer_road_trip_vibes","all_american_road_trip",0,232
"summer_road_trip_vibes","road_trippin_",65,1676
"summer_road_trip_vibes","road_trip____",13,520
"summer_road_trip_vibes","roadtrippin_",31,546
"summer_road_trip_vibes","road_trip_",17,496
"summer_road_trip_vibes","90s__00s_road_trippin",2,390
"roadtrip_","the_ultimate_roadtrip_playlist__",12,743
"roadtrip_","all_american_road_trip",0,282
"roadtrip_","road_trippin_",38,1780
"roadtrip_","road_trip____",0,596
"roadtrip_","roadtrippin_",6,646
"roadtrip_","road_trip_",3,574
"roadtrip_","90s__00s_road_trippin",4,436
"the_ultimate_roadtrip_playlist__","all_american_road_trip",0,533
"the_ultimate_roadtrip_playlist__","road_trippin_",154,1799
"the_ultimate_roadtrip_playlist__","road_trip____",10,827
"the_ultimate_roadtrip_playlist__","roadtrippin_",32,845
"the_ultimate_roadtrip_playlist__","road_trip_",36,759
"the_ultimate_roadtrip_playlist__","90s__00s_road_trippin",13,669
"all_american_road_trip","road_trippin_",1,1620
"all_american_road_trip","road_trip____",0,362
"all_american_road_trip","roadtrippin_",0,424
"all_american_road_trip","road_trip_",0,346
"all_american_road_trip","90s__00s_road_trippin",0,210
"road_trippin_","road_trip____",20,1896
"road_trippin_","roadtrippin_",76,1846
"road_trippin_","road_trip_",35,1850
"road_trippin_","90s__00s_road_trippin",14,1756
"road_trip____","roadtrippin_",80,578
"road_trip____","road_trip_",28,604
"road_trip____","90s__00s_road_trippin",0,524
"roadtrippin_","road_trip_",27,668
"roadtrippin_","90s__00s_road_trippin",4,578
"road_trip_","90s__00s_road_trippin",9,490
