tracks,occurrence,freqency
"All The Small Things",2,0.125000
"Sk8er Boi",5,0.312500
"Ocean Avenue",1,0.062500
"Since U Been Gone",5,0.312500
"1985",3,0.187500
"My Own Worst Enemy",1,0.062500
"Crazy In Love (feat. JAY-Z)",3,0.187500
"Everybody (Backstreet's Back) - Radio Edit",3,0.187500
"Mr. Brightside",8,0.500000
"Before He Cheats",6,0.375000
"Fat Lip",1,0.062500
"TiK ToK",4,0.250000
"Never Let You Go - 2008 Remaster",1,0.062500
"Angel",2,0.125000
"Beverly Hills",3,0.187500
"Party In The U.S.A.",5,0.312500
"What I Got",1,0.062500
"Paper Planes",4,0.250000
"Dirty Little Secret",2,0.125000
"Everywhere",1,0.062500
"Float On",1,0.062500
"Follow Me",1,0.062500
"I Kissed A Girl",2,0.125000
"Temperature",3,0.187500
"One Week",3,0.187500
"Umbrella",10,0.625000
"The Middle",9,0.562500
"California - Tchad Blake Mix",1,0.062500
"The Anthem",1,0.062500
"Save Tonight",1,0.062500
"Womanizer",5,0.312500
"Flagpole Sitta",1,0.062500
"Country Grammar (Hot Shit)",1,0.062500
"Sugar, We're Goin Down",4,0.250000
"I Want It That Way",7,0.437500
"Forgot About Dre",1,0.062500
"Every Morning",1,0.062500
"Poker Face",5,0.312500
"Use Somebody",3,0.187500
"Dammit",1,0.062500
"No Scrubs",4,0.250000
"Island In The Sun",4,0.250000
"Toxic",10,0.625000
"In Too Deep",1,0.062500
"Hand in My Pocket",1,0.062500
"Snow (Hey Oh)",1,0.062500
"Hey Leonardo (She Likes Me For Me)",1,0.062500
"Hot N Cold",3,0.187500
"Jumper",1,0.062500
"SexyBack (feat. Timbaland)",4,0.250000
"Santeria",3,0.187500
"Hollaback Girl",5,0.312500
"Complicated",4,0.250000
"No Diggity",2,0.125000
"So What",4,0.250000
"Welcome to the Black Parade",1,0.062500
"Semi-Charmed Life",1,0.062500
"Ironic",2,0.125000
"The Kids Aren't Alright",2,0.125000
"Ms. Jackson",6,0.375000
"Someday",1,0.062500
"I Miss You",1,0.062500
"Work It",1,0.062500
"I Write Sins Not Tragedies",4,0.250000
"Inside Out",1,0.062500
"Family Affair",2,0.125000
"Lifestyles of the Rich & Famous",2,0.125000
"Say My Name",3,0.187500
"It's Gonna Be Me",3,0.187500
"Wannabe",8,0.500000
"Survivor",1,0.062500
"Bitch",2,0.125000
"I Bet You Look Good On The Dancefloor",2,0.125000
"Crazy",2,0.125000
"Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix",2,0.125000
"Gives You Hell",4,0.250000
"Pon de Replay",3,0.187500
"Can't Stop",1,0.062500
"Genie In a Bottle",4,0.250000
"Down",5,0.312500
"Somewhere Only We Know",4,0.250000
"London Bridge",4,0.250000
"This Love",5,0.312500
"Rich Girl",3,0.187500
"How's It Going to Be",1,0.062500
"Meet Virginia",1,0.062500
"Unwritten",5,0.312500
"What's My Age Again?",1,0.062500
"Black Horse And The Cherry Tree",1,0.062500
"Ridin'",2,0.125000
"When It's Over - David Kahne Main",1,0.062500
"Love Story",3,0.187500
"She's so High",3,0.187500
"By the Way",1,0.062500
"...Baby One More Time",6,0.375000
"Flavor Of The Weak",1,0.062500
"In Da Club",4,0.250000
"Slide",2,0.125000
"Bye Bye Bye - From Deadpool and Wolverine Soundtrack",4,0.250000
"Hey There Delilah",5,0.312500
"Independent Women, Pt. 1",1,0.062500
"Promiscuous",5,0.312500
"Stacy's Mom",5,0.312500
"Hot In Herre",2,0.125000
"Chasing Cars",5,0.312500
"In the End",1,0.062500
"Superstar (feat. Matthew Santos)",1,0.062500
"A Thousand Miles - Single Version",1,0.062500
"Blurry",1,0.062500
"All You Wanted",1,0.062500
"Feel Good Inc.",3,0.187500
"Absolutely (Story of a Girl) - Radio Mix",2,0.125000
"Love Don't Cost a Thing",1,0.062500
"As Long as You Love Me",2,0.125000
"The Way",1,0.062500
"Gettin' Jiggy Wit It",1,0.062500
"MMMBop - Single Version",1,0.062500
"Don't Stop The Music",4,0.250000
"I Will Buy You A New Life",1,0.062500
"Oops!...I Did It Again",8,0.500000
"Soak Up The Sun",1,0.062500
"Sympathy",1,0.062500
"The Rockafeller Skank",2,0.125000
"Behind These Hazel Eyes",2,0.125000
"All Star",5,0.312500
"Steal My Kisses",1,0.062500
"Live Your Life",3,0.187500
"You Get What You Give",2,0.125000
"Jumpin', Jumpin'",1,0.062500
"Kryptonite",5,0.312500
"Pieces Of Me",1,0.062500
"Larger Than Life",2,0.125000
"It Wasn't Me",3,0.187500
"She Hates Me",1,0.062500
"Rehab",5,0.312500
"Low (feat. T-Pain)",6,0.375000
"Crazy for This Girl",1,0.062500
"SOS",6,0.375000
"Drive",2,0.125000
"Bubbly",1,0.062500
"Ride Wit Me",3,0.187500
"Yellow",5,0.312500
"Tearin' up My Heart - Radio Edit",2,0.125000
"First Date",1,0.062500
"Hella Good",1,0.062500
"Somebody Told Me",3,0.187500
"Torn",1,0.062500
"The Boys of Summer",1,0.062500
"Unwell",3,0.187500
"Love Song",3,0.187500
"Father Of Mine",1,0.062500
"Whatever You Like",2,0.125000
"Drops of Jupiter (Tell Me)",5,0.312500
"Lady Marmalade - From Moulin Rouge Soundtrack",1,0.062500
"I Hate Everything About You",2,0.125000
"Roses",5,0.312500
"I'm Like A Bird",2,0.125000
"Fly - Fly",1,0.062500
"Irreplaceable",1,0.062500
"One Thing",3,0.187500
"Right Round",3,0.187500
"Rock Your Body",5,0.312500
"American Idiot",4,0.250000
"Lose Control (feat. Ciara & Fat Man Scoop)",1,0.062500
"Dance, Dance",1,0.062500
"Everytime We Touch",3,0.187500
"Suddenly I See",1,0.062500
"Over My Head (Cable Car)",2,0.125000
"You Belong With Me",2,0.125000
"Take Me Out",2,0.125000
"Harder To Breathe",2,0.125000
"Drop It Like It's Hot",2,0.125000
"Standing Still",1,0.062500
"Disturbia",3,0.187500
"Meant to Live",1,0.062500
"Halo",3,0.187500
"Miss Murder",1,0.062500
