playlist a,playlist b,common tracks, unique tracks
"3. millennial_nostalgia_road_trip","12. road_trip (agustdlc)",7,645
"3. millennial_nostalgia_road_trip","11. road_trip (darya)",1,425
"3. millennial_nostalgia_road_trip","10. road_trip (kat)",20,582
"3. millennial_nostalgia_road_trip","18. best_roadtrip_playlist_of_all_time",27,971
"3. millennial_nostalgia_road_trip","6. road-trip (meghan)",6,537
"3. millennial_nostalgia_road_trip","5. the_ultimate_roadtrip_playlist_ (Machine Gun Kevin)",24,595
"3. millennial_nostalgia_road_trip","20. lets_go_girls_-_a_road_trip_playlist",22,374
"3. millennial_nostalgia_road_trip","13. road_trip (Mackie)",30,653
"3. millennial_nostalgia_road_trip","16. fun_road_trip_bangers",73,1432
"3. millennial_nostalgia_road_trip","23. roadtrip_bangers",38,785
"3. millennial_nostalgia_road_trip","14. road-trip (maleena)",4,745
"3. millennial_nostalgia_road_trip","19. 2000s-2010s_roadtrip_songs",67,426
"3. millennial_nostalgia_road_trip","17. 70s_80s_90s_road_trip_jams",13,470
"3. millennial_nostalgia_road_trip","24. conic_songs_for_car_rides",32,494
"3. millennial_nostalgia_road_trip","9. road_trip_jams",31,451
"12. road_trip (agustdlc)","11. road_trip (darya)",2,482
"12. road_trip (agustdlc)","10. road_trip (kat)",46,589
"12. road_trip (agustdlc)","18. best_roadtrip_playlist_of_all_time",8,1068
"12. road_trip (agustdlc)","6. road-trip (meghan)",8,592
"12. road_trip (agustdlc)","5. the_ultimate_roadtrip_playlist_ (Machine Gun Kevin)",21,660
"12. road_trip (agustdlc)","20. lets_go_girls_-_a_road_trip_playlist",24,429
"12. road_trip (agustdlc)","13. road_trip (Mackie)",8,756
"12. road_trip (agustdlc)","16. fun_road_trip_bangers",50,1537
"12. road_trip (agustdlc)","23. roadtrip_bangers",30,860
"12. road_trip (agustdlc)","14. road-trip (maleena)",6,800
"12. road_trip (agustdlc)","19. 2000s-2010s_roadtrip_songs",17,585
"12. road_trip (agustdlc)","17. 70s_80s_90s_road_trip_jams",0,555
"12. road_trip (agustdlc)","24. conic_songs_for_car_rides",17,583
"12. road_trip (agustdlc)","9. road_trip_jams",13,546
"11. road_trip (darya)","10. road_trip (kat)",1,447
"11. road_trip (darya)","18. best_roadtrip_playlist_of_all_time",4,844
"11. road_trip (darya)","6. road-trip (meghan)",1,374
"11. road_trip (darya)","5. the_ultimate_roadtrip_playlist_ (Machine Gun Kevin)",1,468
"11. road_trip (darya)","20. lets_go_girls_-_a_road_trip_playlist",0,245
"11. road_trip (darya)","13. road_trip (Mackie)",1,538
"11. road_trip (darya)","16. fun_road_trip_bangers",2,1401
"11. road_trip (darya)","23. roadtrip_bangers",5,678
"11. road_trip (darya)","14. road-trip (maleena)",7,566
"11. road_trip (darya)","19. 2000s-2010s_roadtrip_songs",0,387
"11. road_trip (darya)","17. 70s_80s_90s_road_trip_jams",0,323
"11. road_trip (darya)","24. conic_songs_for_car_rides",0,385
"11. road_trip (darya)","9. road_trip_jams",0,340
"10. road_trip (kat)","18. best_roadtrip_playlist_of_all_time",29,989
"10. road_trip (kat)","6. road-trip (meghan)",15,541
"10. road_trip (kat)","5. the_ultimate_roadtrip_playlist_ (Machine Gun Kevin)",31,603
"10. road_trip (kat)","20. lets_go_girls_-_a_road_trip_playlist",29,382
"10. road_trip (kat)","13. road_trip (Mackie)",18,699
"10. road_trip (kat)","16. fun_road_trip_bangers",81,1438
"10. road_trip (kat)","23. roadtrip_bangers",50,783
"10. road_trip (kat)","14. road-trip (maleena)",7,761
"10. road_trip (kat)","19. 2000s-2010s_roadtrip_songs",33,516
"10. road_trip (kat)","17. 70s_80s_90s_road_trip_jams",27,464
"10. road_trip (kat)","24. conic_songs_for_car_rides",26,528
"10. road_trip (kat)","9. road_trip_jams",28,479
"18. best_roadtrip_playlist_of_all_time","6. road-trip (meghan)",27,920
"18. best_roadtrip_playlist_of_all_time","5. the_ultimate_roadtrip_playlist_ (Machine Gun Kevin)",23,1022
"18. best_roadtrip_playlist_of_all_time","20. lets_go_girls_-_a_road_trip_playlist",16,811
"18. best_roadtrip_playlist_of_all_time","13. road_trip (Mackie)",15,1108
"18. best_roadtrip_playlist_of_all_time","16. fun_road_trip_bangers",91,1821
"18. best_roadtrip_playlist_of_all_time","23. roadtrip_bangers",48,1190
"18. best_roadtrip_playlist_of_all_time","14. road-trip (maleena)",8,1162
"18. best_roadtrip_playlist_of_all_time","19. 2000s-2010s_roadtrip_songs",21,943
