playlist a,playlist b,common tracks, unique tracks
"blood_moon","music_safe",0,62
"blood_moon","atmosphere_town",0,29
"blood_moon","valormore",0,39
"blood_moon","rpg_background_music",0,698
"blood_moon","dd_fantasy_overworld",0,188
"blood_moon","music_catharsis",0,40
"blood_moon","mood_-_victory_-_dark_fantasy_rpg",0,28
"blood_moon","pot_rivellon",0,96
"blood_moon","fantasymusic",0,61
"music_safe","atmosphere_town",3,43
"music_safe","valormore",4,51
"music_safe","rpg_background_music",18,682
"music_safe","dd_fantasy_overworld",5,198
"music_safe","music_catharsis",2,56
"music_safe","mood_-_victory_-_dark_fantasy_rpg",1,46
"music_safe","pot_rivellon",9,98
"music_safe","fantasymusic",1,79
"atmosphere_town","valormore",1,24
"atmosphere_town","rpg_background_music",5,675
"atmosphere_town","dd_fantasy_overworld",1,173
"atmosphere_town","music_catharsis",0,27
"atmosphere_town","mood_-_victory_-_dark_fantasy_rpg",1,13
"atmosphere_town","pot_rivellon",3,77
"atmosphere_town","fantasymusic",0,48
"valormore","rpg_background_music",9,677
"valormore","dd_fantasy_overworld",5,175
"valormore","music_catharsis",1,35
"valormore","mood_-_victory_-_dark_fantasy_rpg",0,25
"valormore","pot_rivellon",13,67
"valormore","fantasymusic",1,56
"rpg_background_music","dd_fantasy_overworld",36,772
"rpg_background_music","music_catharsis",3,690
"rpg_background_music","mood_-_victory_-_dark_fantasy_rpg",1,682
"rpg_background_music","pot_rivellon",33,686
"rpg_background_music","fantasymusic",3,711
"dd_fantasy_overworld","music_catharsis",1,184
"dd_fantasy_overworld","mood_-_victory_-_dark_fantasy_rpg",0,174
"dd_fantasy_overworld","pot_rivellon",8,226
"dd_fantasy_overworld","fantasymusic",4,199
"music_catharsis","mood_-_victory_-_dark_fantasy_rpg",0,26
"music_catharsis","pot_rivellon",1,92
"music_catharsis","fantasymusic",2,55
"mood_-_victory_-_dark_fantasy_rpg","pot_rivellon",1,80
"mood_-_victory_-_dark_fantasy_rpg","fantasymusic",0,47
"pot_rivellon","fantasymusic",3,109
